token	word_Dutch	word_English
hoofd	Hoofd	Head
hoofdkantoor	Hoofdkantoor	Headquarters
hooggerechtshof	Hooggerechtshof	Supreme Court
hoogleraar	Hoogleraar	Professor
hoogovens	Hoogovens	Blast furnaces
hoorzitting	Hoorzitting	Hearing
horeca	Horeca	catering industry
hotels	Hotels	Hotels
houdstermaatschappij	Houdstermaatschappij	Holding company
hsbc	HSBC	HSBC
huawei	Huawei	Huawei
huisartsen	Huisartsen	GPs
huishouden	Huishouden	Household
huisvesting	Huisvesting	Housing
huisxvanxafgevaardigden	Huis van Afgevaardigden	Huis van Afgevaardigden
huizen	Huizen	Houses
huizenmarkt	Huizenmarkt	Housing market
huizenprijs	Huizenprijs	House price
hunterxdouglas	HunterDouglas	HunterDouglas
huren	Huren	Rent
huurders	Huurders	Tenants
huwelijk	Huwelijk	Wedding
hybride	Hybride	Hybrid
hypotheken	Hypotheken	Mortgages
hyundai	Hyundai	Hyundai
ibm	IBM	IBM
ict	ICT	ICT
ideeân	Ideeân	Ideas
identiteit	Identiteit	Identity
ie	IE	IE
iea	IEA	IEA
ierland	Ierland	Ireland
ifoxindicator	IFO-indicator	IFO-indicator
ihc	IHC	IHC
ijsland	Ijsland	Iceland
ijzererts	Ijzererts	Iron ore
ikea	Ikea	Ikea
imf	IMF	IMF
immigratie	Immigratie	Immigration
import	Import	Import
imtech	Imtech	Imtech
incidenteel	Incidenteel	Incidental
index	Index	Index
india	India	India
indicator	Indicator	Indicator
individueel	Individueel	Individually
indonesie	Indonesiâ	Indonesia
industrie	Industrie	Industry
industrielanden	Industrielanden	Industrialized countries
industrielexproductie	Industriâle productie	Industrial production
inflatie	Inflatie	Inflation
informateur	Informateur	Informer
informatie	Informatie	Information
informatietechnologie	Informatietechnologie	Information technology
informeel	Informeel	Informal
infrastructuur	Infrastructuur	Infrastructure
ingenieur	Ingenieur	Engineer
inggroup	ING	ING
initiatief	Initiatief	Initiative
initiatiefnemer	Initiatiefnemer	Initiator
inkomen	Inkomen	Income
inkomsten	Inkomsten	Income
inkoopmanagersindex	PMI-index	PMI-index
inkopen	Inkopen	Shopping
inlichten	Inlichten	Inform
inlijven	Inlijven	Enlisting
innovatie	Innovatie	Innovation
inperken	Inperken	Restrict
inschrijving	Inschrijving	Registration
inseexindicator	INSEE-indicator	INSEE-indicator
inspectie	Inspectie	Inspection
installaties	Installaties	Installations
instantie	Instantie	Authority
instrument	Instrument	Instrument
integratie	Integratie	Integration
intel	Intel	Intel
intelligentie	Intelligentie	Intelligence
intensief	Intensief	Intensive
intentie	Intentie	Intention
interbancair	Interbancair	Interbank
interessant	Interessant	Interesting
internationaal	Internationaal	International
internet	Internet	Internet
internetbedrijven	Internetbedrijven	Internet companies
interventies	Interventies	Interventions
introductie	Introductie	Introduction
inventarisatie	Inventarisatie	Assessment
investeerders	Investeerders	Investors
investering	Investering	Investment
investeringsfonds	Investeringsfonds	Investment fund
investeringsmaatschappij	Investeringsmaatschappij	Investment company
invloed	Invloed	Influence
inwoner	Inwoner	Resident
inzicxht	Inzicht	Insight
iphone	Iphone	Iphone
irak	Irak	Iraq
iran	Iran	Iran
isis	ISIS	ISIS
islam	Islam	Islam
israel	Israâl	Israel
italie	Italiâ	Italy
itbedrijven	IT bedrijven	IT companies
jaarvergadering	Jaarvergadering	Annual meeting
jaarverslag	Jaarverslag	Annual report
jaarwisseling	Jaarwisseling	New years eve
jagen	Jagen	To hunt
japan	Japan	Japan
jargon	Jargon	Jargon
jeltsin	Jeltsin	Yeltsin
jeugd	Jeugd	Youth
joegoslavie	Joegoslaviâ	Yugoslavia
johnson	Johnson	Johnson
jointxventure	Joint-venture	Joint-venture
jongeren	Jongeren	Young people
jonker	Jonker	Jonker
joop	Joop	Joop
jorritsma	Jorritsma	Jorritsma
jospin	Jospin	Jospin
journalisten	Journalisten	Journalists
jpxmorganxstanleyxchase	JP Morgan Stanley Chase	JP Morgan Stanley Chase
jumbo	Jumbo	Jumbo
jurist	Jurist	Jurist
juristen	Juristen	Lawyers
jury	Jury	Jury
justitie	Justitie	Justice
kaarten	Kaarten	Cards
kabel	Kabel	Cable
kabelbedrijf	Kabelbedrijf	Cable company
kabels	Kabels	Cables
kabinet	Kabinet	Cabinet
kadaster	Kadaster	Land Registry
kamer	Kamer	Room
kamercommissie	Kamercommissie	Chamber committee
kamerlid	Kamerlid	Member of Parliament
kamervoorzitter	Kamervoorzitter	President of the Chamber
kamerxvanxkoophandel	Kamer van Koophandel	Chamber of Commerce
kanaal	Kanaal	Channel
kanker	Kanker	Cancer
kantoren	Kantoren	Offices
kantorenmarkt	Kantorenmarkt	Office market
kapitaal	Kapitaal	Capital
kapitaaleis	Kapitaaleis	Capital requirement
kapitaalgoederen	Kapitaalgoederen	Capital goods
kapitaalinjectie	Kapitaalinjectie	Capital injection
kapitaalmarkt	Kapitaalmarkt	Capital market
kartel	Kartel	Cartel
kassen	Kassen	Greenhouses
kasstroom	Kasstroom	Cash flow
kasxbank	Kasbank	Kasbank
katholiek	Katholiek	Catholic
kbc	KBC	KBC
kempenxenxco	Van Lanschot Kempen	Van Lanschot Kempen
kennis	Kennis	Knowledge
kerken	Kerken	Churches
kernactiviteiten	Kernactiviteiten	Core activities
kernenergie	Kernenergie	Nuclear energy
keuken	Keuken	kitchen
keulen	Keulen	Cologne
kiev	Kiev	Kiev
kiezer	Kiezer	Voter
kinderen	Kinderen	Children
kinderopvang	Kinderopvang	Day-care
klanten	Klanten	Customers
kleinbedrijf	Kleinbedrijf	Small company
klimaat	Klimaat	climate
kloven	Kloven	Gorges
koeien	Koeien	Cows
koenders	Koenders	Koenders
koers	Koers	Course
koersverlies	Koersverlies	Price loss
koersverloop	Koersverloop	Price development
koerswinst	Koerswinst	Price gain
koeweit	Koeweit	Kuwait
koffie	Koffie	Coffee
kohl	Kohl	Kohl
kok	Kok	Cook
kolen	Kolen	Coal
kolencentrales	Kolencentrales	Coal-fired power stations
koningshuis	Koningshuis	Royal family
koolmees	Koolmees	Great Tit
koopkracht	Koopkracht	Purchasing power
kopenhagen	Kopenhagen	Copenhagen
koper	Koper	to buy
kortingen	Kortingen	Discounts
kortlopende	Kortlopende	Short-term
kosovo	Kosovo	Kosovo
kosten	Kosten	Cost
kostenbesparing	Kostenbesparing	Cost reduction
kostprijs	Kostprijs	Cost price
kpmg	KPMG	KPMG
kpn	KPN	KPN
kraken	Kraken	Crack
krediet	Krediet	Credit
kredietbeoordelaar	Kredietbeoordelaar	Credit rating agency
kredietstatus	Kredietstatus	Credit status
kredietverlening	Kredietverlening	Lending
kredietwaardigheid	Kredietwaardigheid	Creditworthiness
krim	Krim	Crimea
kroatie	Kroatiâ	Croatia
kunst	Kunst	Art
kunststof	Kunststof	Plastic
kwalitatief	Kwalitatief	Qualitatively
kwartaalcijfers	Kwartaalcijfers	Quarterly figures
laboratorium	Laboratorium	Laboratory
lagarde	Lagarde	Lagarde
lagerhuis	Lagerhuis	House of Commons
landbouw	Landbouw	Agriculture
landelijk	Landelijk	Rural
landen	Landen	Nations
landschap	Landschap	Landscape
langlopende	Langlopende	Long-term
lasten	Lasten	Charges
latijnsxamerika	Latijns-Amerika	Latin America
laurus	Laurus	Laurus
lease	Lease	Lease
lee	Lee	Lee
leegstand	Leegstand	Vacancy
leerlingen	Leerlingen	Pupils
lehmanxbrothers	Lehman Brothers	Lehmanxbrothers
leidinggevende	Leidinggevende	Supervisor
lelystad	Lelystad	Lelystad
lenen	Lenen	To lend
leningen	Leningen	Loans
letland	Letland	Latvia
levensmiddelen	Levensmiddelen	Foodstuffs
levensverzekeraar	Levensverzekeraar	Life insurer
leveranciers	Leveranciers	Suppliers
levering	Levering	Delivery
lezing	Lezing	Reading
liberalen	Liberalen	Liberals
liberalisering	Liberalisering	Liberalization
liberia	Liberia	Liberia
licentie	Licentie	License
lichaam	Lichaam	Body
lidmaatschap	Lidmaatschap	Membership
lidstaten	Lidstaten	Member States
liffe	Liffe	Liffe
liften	Liften	Hitchhike
lijstje	Lijstje	List
limiet	Limiet	Limit
liquidatie	Liquidatie	Liquidation
liquiditeit	Liquiditeit	Liquidity
litouwen	Litouwen	Lithuania
lloyds	Lloyds	Lloyds
lng	LNG	LNG
lobby	Lobby	Lobby
lockdown	Lockdown	Lockdown
logica	Logica	Logic
logistiek	Logistiek	Logistics
logo	Logo	Logo
loodsen	Loodsen	Sheds
looneisen	Looneisen	Wage demands
loonkosten	Loonkosten	Labour costs
loononderhandelingen	Loononderhandelingen	Wage negotiations
loonstijging	Loonstijging	Wage increase
loopbaan	Loopbaan	Career
looptijd	Looptijd	Duration
lopendexrekening	Lopende Rekening	Current account
lto	LTO	LTO
lubbers	Lubbers	Lubbers
lucasxvbols	Lucas Bols	Lucas Bols
luchthavens	Luchthavens	Airports
luchtvaart	Luchtvaart	Aviation
lufthansa	Lufthansa	Lufthansa
lunchen	Lunchen	Having lunch
luxemburg	Luxemburg	Luxembourg
maarten	Maarten	Maarten
maastricht	Maastricht	Maastricht
maasvlakte	Maasvlakte	Maasvlakte
maatregel	Maatregel	Measure
maatschappelijk	Maatschappelijk	Societal
maatschappijen	Maatschappijen	Companies
maatstaf	Maatstaf	Benchmark
maatwerk	Maatwerk	Customization
machines	Machines	Machines
macht	Macht	Power
macron	Macron	Macron
macroxeconomisch	Macro-economisch	Macro-economisch
madrid	Madrid	Madrid
maersk	Maersk	Maersk
major	Major	Major
makelaar	Makelaar	Realestate agent
maleisie	Maleisie	Malaysia
management	Management	Management
mandaat	Mandaat	Mandate
marge	Marge	Margin
marine	Marine	Marine
marketing	Marketing	Marketing
markt	Markt	Market
marktaandeel	Marktaandeel	Market share
markteconomie	Markteconomie	Market economy
marktkapitalisatie	Marktkapitalisatie	Market capitalization
marktomstandigheden	Marktomstandigheden	Market conditions
marktpartij	Marktpartij	Market party
marktpositie	Marktpositie	Market position
marktrente	Marktrente	Market interest
marktsector	Marktsector	Market sector
marktwaarde	Marktwaarde	Market value
marktwerking	Marktwerking	Market forces
marokko	Marokko	Morocco
martinair	Martinair	Martinair
massa	Massa	Mass
may	May	May
mcdonalds	McDonalds	McDonalds
mckinsey	McKinsey	McKinsey
mededeling	Mededeling	Statement
mededinging	Mededinging	Competition
mededingingsautoriteiten	Mededingingsautoriteiten	Competition authorities
medewerkers	Medewerkers	Staff members
media	Media	Media
medicijn	Medicijn	Medicine
medisch	Medisch	Medical
meerderheidsbelang	Meerderheidsbelang	Majority interest
meerekenen	Meerekenen	Calculate
meespierson	Mees Pierson	Mees Pierson
megawatt	Megawatt	Megawatt
meijer	Meijer	Meijer
melk	Melk	Milk
melkert	Melkert	Melkert
menselijk	Menselijk	Human
mensenrechten	Mensenrechten	Human Rights
mercedes	Mercedes	Mercedes
merck	Merck	Merck
merkbaar	Merkbaar	Noticeable
merkel	Merkel	Merkel
merrillxlynch	Merrill Lynch	Merrill Lynch
mesten	Mesten	Fattening
metaal	Metaal	Metal
metro	Metro	Subway
mexico	Mexico	Mexico
mhp	MHP	MHP
microsoft	Microsoft	Microsoft
middellange	Middellange	Medium
middenklasse	Middenklasse	Mid-range
middenoosten	Midden-Oosten	Middle East
midkap	Midkap	Midcap
migratie	Migratie	Migration
mijnbouw	Mijnbouw	Mining
milieu	Milieu	Environment
militair	Militair	Military
miljardair	Miljardair	Billionaire
miljoenennota	Miljoenennota	Budget Memorandum
minderheden	Minderheden	Minorities
minderheid	Minderheid	Minority
minderheidsbelang	Minderheidsbelang	Minority interest
minimumloon	Minimumloon	Minimum wage
minister	Minister	Minister
ministerie	Ministerie	Ministry
ministerxnl	Minister Nederland	Minister Netherlands
ministerxpresident	Minister president	Prime Minister
ministerxpresidentxduitsland	Minister president Duitsland	Prime Minister of Germany
ministerxpresidentxfrankrijk	Minister president France	Prime Minister France
ministerxpresidentxgriekenland	Minister president Griekenland	Prime Minister Greece
ministerxpresidentxitalie	Minister president Italiâ	Prime Minister Italy
ministerxpresidentxnl	Minister president Nederland	Prime Minister of the Netherlands
ministerxpresidentxrusland	Minister president Rusland	Prime Minister Russia
ministerxpresidentxturkije	Minister president Turkije	Prime Minister of Turkey
ministerxpresidentxverenigdxkoninkrijk	Minister president Verenigd Koninkrijk	Prime Minister United Kingdom
misdaad	Misdaad	Crime
missie	Missie	Mission
mitsubishi	Mitsubishi	Mitsubishi
mitterrand	Mitterrand	Mitterrand
mixen	Mixen	To mix
mkbxbedrijven	MKB bedrijven	SMEs
mkbxnederland	MKB Nederland	MKB Nederland
mobiel	Mobiel	Mobile
mobile	Mobile	Mobile
mobiliteit	Mobiliteit	Mobility
mode	Mode	Fashion
modellen	Modellen	Models
modernisering	Modernisering	Modernization
moederbedrijf	Moederbedrijf	Parent company
mondiaal	Mondiaal	Global
monetair	Monetair	Monetary
monopolie	Monopolie	Monopoly
monti	Monti	Monti
moodys	Moodys	Moodys
moorden	Moorden	Murders
moskou	Moskou	Moscow
moslims	Moslims	Muslims
motie	Motie	Motion
motieven	Motieven	Motifs
motorola	Motorola	Motorola
msci	MSCI	MSCI
muller	Muller	Muller
multinational	Multinational	Multinational
mÅnchen	MÅnchen	Munich
munt	Munt	Mint
muntunie	Muntunie	Currency union
muntxfrankrijk	Munt Frankrijk	Coin France
muntxitalie	Munt Italiâ	Coin Italy
muntxnederland	Munt Nederland	Coin Netherlands
muntxrusland	Munt Rusland	Coin Russia
muntxspanje	Munt Spanje	Coin Spain
muntxverenigdxkoninkrijk	Munt Verenigd Koninkrijk	Mint United Kingdom
murdoch	Murdoch	Murdoch
museum	Museum	Museum
musk	Musk	Musk
muziek	Muziek	Music
naamlozexvenootschap	Naamloze Vennootschap	Limited Liability Company
naleving	Naleving	Compliance
nasdeq	Nasdeq	Nasdeq
nationaal	Nationaal	National
nationalexnederlanden	Nationale Nederlanden	Nationale Nederlanden
nationalisatie	Nationalisatie	Nationalization
navo	NAVO	NATO
ncw	NCW	NCW
nedcar	Nedcar	Nedcar
nederland	Nederland	The Netherlands
nedlloyd	Nedlloyd	Nedlloyd
nestle	NestlÇ	Nestle
netflix	Netflix	Netflix
netten	Netten	Nets
netwerk	Netwerk	Network
nibc	NIBC	NIBC
nieuwbouw	Nieuwbouw	New construction
nieuwenhuyzen	Nieuwenhuyzen	Nieuwenhuyzen
nieuwkomers	Nieuwkomers	Newcomers
nieuws	Nieuws	News
nieuwzeeland	Nieuw Zeeland	New Zealand
nigeria	Nigeria	Nigeria
nijmegen	Nijmegen	Nijmegen
nijpels	Nijpels	Nipples
nike	Nike	Nike
nikkei	Nikkei	Nikkei
nikkel	Nikkel	Nickel
nissan	Nissan	Nissan
nma	NMA	NMA
nmb	NMB	NMB
nokia	Nokia	Nokia
nomura	Nomura	Nomura
noordxkorea	Noord Korea	North Korea
noordzee	Noordzee	North Sea
noorwegen	Noorwegen	Norway
norm	Norm	Norm
northwestxairlines	Northwest Airlines	Northwest Airlines
nos	NOS	NOS
notarissen	Notarissen	Notaries
noteren	Noteren	To note
noteringen	Noteringen	Quotes
novartis	Novartis	Novartis
npm	NPM	NPM
nrc	NRC	NRC
ns	NS	Ns
nucleaire	Nucleair	Nuclear
numico	Numico	Numico
nuon	Nuon	Nuon
nutreco	Nutreco	Nutreco
nutricia	Nutricia	Nutricia
nutsbedrijf	Nutsbedrijf	Utility
nvb	NVB	NVB
nvm	NVM	NVM
nxp	NXP	NXP
nyse	NYSE	NYSE
obama	Obama	Obama
obligatie	Obligatie	Bond
oce	OcÇ	OcÇ
oceaan	Oceaan	Ocean
oekraine	Oekraãne	Ukraine
oeso	OESO	OECD
officieel	Officieel	Officially
officier	Officier	Officer
offshore	Offshore	Offshore
ogen	Ogen	Eyes
olie	Olie	Oil
olieindustrie	Olieindustrie	Oil industry
olieprijs	Olieprijs	Oil price
olieuitvoer	Olieuitvoer	Oil output
olympischexspelen	Olympische Spelen	Olympic Games
omroep	Omroep	Broadcaster
omzet	Omzet	Revenue
omzetdaling	Omzetdaling	Sales decline
omzetgroei	Omzetgroei	Sales growth
onderhandelingen	Onderhandelingen	Negotiations
onderhandse	Onderhandse	Underhand
ondernemers	Ondernemers	Entrepreneurs
ondernemersvertrouwen	Ondernemersvertrouwen	Entrepreneurial confidence
ondernemingskamer	Ondernemingskamer	Enterprise Chamber
ondernemingsraad	Ondernemingsraad	Works Council
onderpand	Onderpand	Collateral
ondertekening	Ondertekening	Signature
onderzoeken	Onderzoeken	To investigate
onderzoekers	Onderzoekers	Researchers
onderzoeksinstituut	Onderzoeksinstituut	Research Institute
online	Online	Online
ontslag	Ontslag	Dismissal
ontsnappen	Ontsnappen	Escape
ontvangst	Ontvangst	Reception
ontwerpen	Ontwerpen	To design
ontwerper	Ontwerper	Designer
ontwikkelaars	Ontwikkelaars	Developers
ontwikkelingshulp	Ontwikkelingshulp	Development aid
ontwikkelingsland	Ontwikkelingsland	Developing country
oorlog	Oorlog	War
oostenrijk	Oostenrijk	Austria
oostxeuropa	Oost Europa	Eastern Europe
opbrengst	Opbrengst	Yield
opdracht	Opdracht	Order
opdrachtgevers	Opdrachtgevers	Clients
opec	OPEC	OPEC
opel	Opel	Opel
openbaar	Openbaar	Public
opening	Opening	Opening
operatie	Operatie	Operation
operationeel	Operationeel	Operational
opereren	Opereren	Operate in
opgave	Opgave	Statement
opiniepeiling	Opiniepeiling	Opinion poll
opkomendexmarkten	Opkomende Markten	Emerging markets
opkoopxprogramma	Opkoopprogramma	Buy-back program
opkopen	Opkopen	Buying up
opleidingen	Opleidingen	Education
opname	Opname	Recording
oppakken	Oppakken	Picking up
oppositie	Oppositie	Opposition
oprichting	Oprichting	Establishment
opsplitsing	Opsplitsing	Breakdown
opstand	Opstand	Rebellion
opta	Opta	Opt
optie	Optie	Option
optiebeurs	Optiebeurs	Options exchange
opvolger	Opvolger	Successor
oracle	Oracle	Oracle
orange	Orange	Orange
orde	Orde	To order
orders	Orders	Orders
ordina	Ordina	Ordina
organisatie	Organisatie	Organization
organon	Organon	Organon
otto	Otto	Otto
ouders	Ouders	Parents
oudminister	Oudminister	Former minister
overeenkomst	Overeenkomst	Agreement
overhandigen	Overhandigen	Hand over
overheid	Overheid	Government
overkoepelend	Overkoepelend	An overarching
overleggen	Overleggen	Discuss
overnamebod	Overnamebod	Takeover bid
overnameprijs	Overnameprijs	Acquisition price
overnames	Overnames	Takeovers
overnamestrijd	Overnamestrijd	Takeover battle
overschot	Overschot	Surplus
overtuiging	Overtuiging	Persuasion
pakhoed	Pakhoed	Pakhat
pakistan	Pakistan	Pakistan
palestijnen	Palestijnen	Palestinians
panama	Panama	Panama
pandemie	Pandemie	Pandemic
papandreou	Papandreou	Papandreou
parallel	Parallel	Parallel
parallelxmarkt	Parallelmarkt	Parallel market
parlement	Parlement	Parliament
participatie	Participatie	Participation
participatiemaatschappij	Participatiemaatschappij	Private equity firm
particulier	Particulier	Private
partij	Partij	Party
partner	Partner	Partner
passagiers	Passagiers	Passengers
patent	Patent	Patent
patiânten	Patiânten	Patients
pcm	PCM	PCM
pechtold	Pechtold	Pechtold
peilingen	Peilingen	Polls
peking	Peking	Beijing
pence	Pence	Pence
pensioen	Pensioen	Pension
pensioenakkoord	Pensioenakkoord	Pension agreement
personeelsbestand	Personeelsbestand	Workforce
personen	Personen	Persons
persoonsgegevens	Persoonsgegevens	Personal data
perspectief	Perspectief	Perspective
persverklaring	Persverklaring	Press statement
peru	Peru	Peru
petrobas	Petrobas	Petrobas
petroleum	Petroleum	Petroleum
peugeot	Peugeot	Peugeot
pfizer	Pfizer	Pfizer
pggm	PGGM	PGGM
pharming	Pharming	Pharming
philips	Philips	Philips
pierson	Mees Pierson	Mees Pierson
pijpleiding	Pijpleiding	Pipeline
piloten	Piloten	Pilot
plan	Plan	Plan
planbureau	Planbureau	Planning bureau
planten	Planten	Factory
plasterk	Plasterk	Plasterk
platform	Platform	Platform
platina	Platina	Plate
platteland	Platteland	Country
pleidooi	Pleidooi	Plea
poetin	Poetin	Poetine
poging	Poging	Attempt
polder	Polder	Polder
polen	Polen	Pollen
polissen	Polissen	Policies
politie	Politie	Law enforcement
politiek	Politiek	Politics
polygram	Polygram	Polygram
pompen	Pompen	Pumps
porsche	Porsche	Porsche
portefeuille	Portefeuille	Wallet
portemonnee	Portemonnee	Wallet
portfolio	Portfolio	Wallet
portugal	Portugal	Portugal
posities	Posities	Positions
postbank	Postbank	Postbank
postbedrijf	Postbedrijf	Postal company
postnl	PostNL	PostNL
powell	Powell	Powell
praag	Praag	Prague
praktijk	Praktijk	Practice
preferente	Preferente	Preferential
premie	Premie	price
presentatie	Presentatie	Presentation
president	President	President
presidentskandidaat	Presidentskandidaat	Presidential candidate
presidentxverenigdexstaten	President Verenigde Staten	President United States
pricexwaterhousexcoopers	Price Waterhouse Coopers	Price Waterhouse Coopers
prijsafspraken	Prijsafspraken	Price fixing
prijsontwikkeling	Prijsontwikkeling	Price development
prijspeil	Prijspeil	Price level
prijsvechter	Prijsvechter	Price fighter
prijzen	Prijzen	Prices
prikkels	Prikkels	Incentives
primair	Primair	Primary
principe	Principe	the prince
principeakkoord	Principeakkoord	Principal agreement
prinsjesdag	Prinsjesdag	Budget Day
privaat	Privaat	Private
privacy	Privacy	Privacy
privatexequity	Private Equity	Private Equity
privatisering	Privatisering	Privatization
problematiek	Problematiek	Problem
procedure	Procedure	Procedure
proces	Proces	Method
producenten	Producenten	Producerd
producentenprijzen	Producentenprijzen	Producer prices
producten	Producten	Produce
productie	Productie	production
productiecapaciteit	Productiecapaciteit	Production capacity
professioneel	Professioneel	Professional
professor	Professor	Professor
profiel	Profiel	Profile
prognose	Prognose	Prognosis
programma	Programma	Program
projecten	Projecten	Project
projectontwikkelaar	Projectontwikkelaar	Project developer
prorail	Prorail	ProRail
prospectus	Prospectus	Prospectus
protectionisme	Protectionisme	Protectionism
protest	Protest	Protest
provincie	Provincie	Province
provisie	Provisie	Determination
ptt	PTT	PTT
publicatie	Publicatie	Publication
publiciteit	Publiciteit	Publicity
publiek	Publieke	Public
punten	Punten	Points
pvda	PvdA	PvdA
pvv	PVV	PVV
qatar	Qatar	Qatar
qualcomm	Qualcomm	Qualcomm
quotum	Quotum	Quota
raadplegen	Raadplegen	Consult
raadxvanxcommissarissen	Raad van Commissarissen	Board of Commissioners
raadxvanxstate	Raad van State	Council of State
rabobank	Rabobank	Rabobank
racen	Racen	To race
raffinaderij	Raffinaderij	Refinery
rai	RAI	RAI
raketten	Raketten	Missiles
rally	Rally	Rally
rampen	Rampen	Disasters
randstadxholding	Randstad	Randstad
ranglijst	Ranglijst	Ranking
rapportage	Rapportage	Report
rapporteren	Rapporteren	Reporter
rating	Rating	Rating
ratio	Ratio	Ratio
rbs	RBS	RBS
reaal	Reaal	Real
reagan	Reagan	Reagan
real	Real	Really
realiseren	Realiseren	Realize
realiteit	Realiteit	Reality
rebellen	Rebellen	Rebel
recessie	Recessie	Recession
recht	Recht	Straight
rechten	Rechten	Rights
rechtspraak	Rechtspraak	Judiciary
rechtsstaat	Rechtsstaat	Rule of law
reclame	Reclame	Claim
record	Record	Listing
redactie	Redactie	Editorial office
rederij	Rederij	Shipping company
reedxelsevier	ReedElsevier	ReedElsevier
referendum	Referendum	Referendum
regeerakkoord	Regeerakkoord	Coalition agreement
regelgeving	Regelgeving	Regulations
regeling	Regeling	Regulation
regels	Regels	Rules
regering	Regering	Government
regime	Regime	Regime
regio	Regio	Royal
regulering	Regulering	Regulation
rehn	Rehn	Rehn
reizen	Reizen	To travel
rekeningen	Rekeningen	draw up
rekenkamer	Rekenkamer	Court of Auditors
rekenrente	Rekenrente	Actual interest
relaties	Relaties	Relationships
renault	Renault	Renault
rendabel	Rendabel	Profitable
rendement	Rendement	Efficiency
renovatie	Renovatie	Renovation
rente	Rente	Rent
reorganisatie	Reorganisatie	Reorganization
republiek	Republiek	Republic
republikeinen	Republikeinen	Republicans
reserves	Reserves	Reserves
resolutie	Resolutie	Resolution
restaurant	Restaurant	Restaurant
restricties	Restricties	Limitations
resultaten	Resultaten	Result
revolutie	Revolutie	Revolution
richtlijnen	Richtlijnen	Guidelines
rijkswaterstaat	Rijkswaterstaat	Rijkswaterstaat
risico	Risico	Risk
rivm	RIVM	RIVM
robeco	Robeco	Robeco
robots	Robots	Robots
roche	Roche	Roche
roemenie	Roemeniâ	Romania
rompuy	Rompuy	Rompuy
rondgang	Rondgang	Tour
rooy	Rooy	Rooy
rtl	RTL	RTL
ruding	Ruding	Ruding
rundvlees	Rundvlees	Beef
runnen	Runnen	Run
rusland	Rusland	Russia
rutte	Rutte	Rutte
rvc	RvC	Supervisory Board
rwe	RWE	Rwe
ryanxair	Ryan Air	Ryanxair
saab	Saab	Saab
salaris	Salaris	Salary
saldo	Saldo	Balance
samas	Samas	Samas
samenleving	Samenleving	Society
samenvoeging	Samenvoeging	Aggregation
samenwerking	Samenwerking	Collaboration
samsung	Samsung	Samsung
sanctie	Sanctie	Sanction
saneren	Saneren	Remediation
santander	Santander	Santander
saoedixarabie	Saoedi Arabiâ	Saudi Arabia
sap	SAP	SAP
saraxleexdouwexegberts	Sara Lee Douwe Egberts	Sara Lee Douwe Egberts
sarkozy	Sarkozy	Sarkozy
sbmoffshore	SBM Offshore	SBM Offshore
sbs	SBS	SBS
scala	Scala	Range
scandinavie	Scandinaviâ	Scandinavia
scania	Scania	Scania
scenario	Scenario	Scenario
schaalgrootte	Schaalgrootte	Scale size
schaalvergroting	Schaalvergroting	Scaling up
schadevergoeding	Schadevergoeding	Compensation
schandaal	Schandaal	Scandal
schatkist	Schatkist	Treasury
schauble	Schauble	Schauble
scheepbouwer	Scheepbouwer	Shipbuilder
scheepvaart	Scheepvaart	Shipping
schepen	Schepen	Ships
schermen	Schermen	Screens
schieten	Schieten	Shoot
schikking	Schikking	Settlement
schiphol	Schiphol	Schiphol
scholing	Scholing	Education
schommelingen	Schommelingen	Fluctuations
schorsen	Schorsen	Suspend
schotland	Schotland	Scotland
schrijver	Schrijver	Writer
schroder	Schrîder	Schroder
schuitema	Schuitema	Schuitema
schuld	Schuld	Debt
schuldeiser	Schuldeiser	Creditor
schuldpapier	Schuldpapier	Debt paper
schultz	Schultz	Schultz
score	Score	Score
se	SE	SE
sec	SEC	SEC
secretaris	Secretaris	Secretaries
secretarisgeneraal	Secretaris-Generaal	Secretary General
sectoren	Sectoren	Sectors
securities	Securities	Effects
seizoensinvloeden	Seizoensinvloeden	Seasonality
semiconductor	Semiconductor	Semiconductor
senaat	Senaat	Senate
ser	SER	SER
servie	Serviâ	Serbia
sgp	SGP	SGP
shanghai	Shanghai	Shanghai
shell	Shell	Shell
short	Short	Shorts
shv	SHV	SHV
siemens	Siemens	Siemens
sigaretten	Sigaretten	Cigarettes
signaal	Signaal	Signal
significant	Significant	Significant
silliconxvalley	Sillicon Valley	Silliconxvalley
singapore	Singapore	Singapore
sir	SIR	SIR
sjanghai	Sjanghai	Shanghai
skyteam	Skyteam	Air team
slachtoffer	Slachtoffer	Victim
sligro	Sligro	Sligro
slot	Slot	Slot
slotkoers	Slotkoers	Closing price
slovenie	Sloveniâ	Slovenia
slowakije	Slowakije	Slovakia
smaken	Smaken	Flavors
smallcapindex	Small Cap Index	Small Cap Index
smartphones	Smartphones	Smartphones
smits	Smits	Smits
smitxtak	Smit Tak	Smit Tak
snapchat	Snapchat	Snapchat
snelweg	Snelweg	Highway
sns	SNS	SNS
sociaal	Sociaal	Social
sociaaldemocraten	Sociaal-democraten	Social Democrats
sociaaleconomische	Sociaal-economische	Socio-economic
sociaalxplan	Sociaal Plan	Social plan
socialexpartners	Sociale partners	Socialexpartners
socialisten	Socialisten	Socialists
soevereiniteit	Soevereiniteit	Sovereignty
software	Software	software
solidariteit	Solidariteit	Solidarity
solvabiliteit	Solvabiliteit	Solvency
sony	Sony	Sony
